parameters_fuelbeds, Fuelbeds
consumption_canopy_overstory_flaming,C_over_crown_F
consumption_canopy_overstory_smoldering,C_over_crown_S
consumption_canopy_overstory_residual,C_over_crown_R
consumption_canopy_midstory_flaming,C_mid_crown_F
consumption_canopy_midstory_smoldering,C_mid_crown_S
consumption_canopy_midstory_residual,C_mid_crown_R
consumption_canopy_understory_flaming,C_under_crown_F
consumption_canopy_understory_smoldering,C_under_crown_S
consumption_canopy_understory_residual,C_under_crown_R
consumption_canopy_snags_class_1_foliage_flaming,C_snagc1f_crown_F
consumption_canopy_snags_class_1_foliage_smoldering,C_snagc1f_crown_S
consumption_canopy_snags_class_1_foliage_residual,C_snagc1f_crown_R
consumption_canopy_snags_class_1_wood_flaming,C_snagc1f_wood_F
consumption_canopy_snags_class_1_wood_smoldering,C_snagc1f_wood_S
consumption_canopy_snags_class_1_wood_residual,C_snagc1f_wood_R
consumption_canopy_snags_class_1_no_foliage_flaming,C_snagc1_F
consumption_canopy_snags_class_1_no_foliage_smoldering,C_snagc1_S
consumption_canopy_snags_class_1_no_foliage_residual,C_snagc1_R
consumption_canopy_snags_class_2_flaming,C_snagc2_F
consumption_canopy_snags_class_2_smoldering,C_snagc2_S
consumption_canopy_snags_class_2_residual,C_snagc2_R
consumption_canopy_snags_class_3_flaming,C_snagc3_F
consumption_canopy_snags_class_3_smoldering,C_snagc3_S
consumption_canopy_snags_class_3_residual,C_snag3_R
consumption_canopy_ladder_fuels_flaming,C_ladder_F
consumption_canopy_ladder_fuels_smoldering,C_ladder_S
consumption_canopy_ladder_fuels_residual,C_ladder_R
consumption_shrub_primary_live_flaming,C_shrub_1live_F
consumption_shrub_primary_live_smoldering,C_shrub_1live_S
consumption_shrub_primary_live_residual,C_shrub_1live_R
consumption_shrub_primary_dead_flaming,C_shrub_1dead_F
consumption_shrub_primary_dead_smoldering,C_shrub_1dead_S
consumption_shrub_primary_dead_residual,C_shrub_1dead_R
consumption_shrub_secondary_live_flaming,C_shrub_2live_F
consumption_shrub_secondary_live_smoldering,C_shrub_2live_S
consumption_shrub_secondary_live_residual,C_shrub_2live_R
consumption_shrub_secondary_dead_flaming,C_shrub_2live_F
consumption_shrub_secondary_dead_smoldering,C_shrub_2live_S
consumption_shrub_secondary_dead_residual,C_shrub_2live_R
consumption_nonwoody_primary_live_flaming,C_herb_1live_F
consumption_nonwoody_primary_live_smoldering,C_herb_1live_S
consumption_nonwoody_primary_live_residual,C_herb_1live_R
consumption_nonwoody_primary_dead_flaming,C_herb_1dead_F
consumption_nonwoody_primary_dead_smoldering,C_herb_1dead_S
consumption_nonwoody_primary_dead_residual,C_herb_1dead_R
consumption_nonwoody_secondary_live_flaming,C_herb_2live_F
consumption_nonwoody_secondary_live_smoldering,C_herb_2live_S
consumption_nonwoody_secondary_live_residual,C_herb_2live_R
consumption_nonwoody_secondary_dead_flaming,C_herb_2live_F
consumption_nonwoody_secondary_dead_smoldering,C_herb_2live_S
consumption_nonwoody_secondary_dead_residual,C_herb_2live_R
consumption_woody_fuels_1-hr_fuels_flaming,C_wood_1hr_F
consumption_woody_fuels_1-hr_fuels_smoldering,C_wood_1hr_S
consumption_woody_fuels_1-hr_fuels_residual,C_wood_1hr_R
consumption_woody_fuels_10-hr_fuels_flaming,C_wood_10hr_F
consumption_woody_fuels_10-hr_fuels_smoldering,C_wood_10hr_S
consumption_woody_fuels_10-hr_fuels_residual,C_wood_10hr_R
consumption_woody_fuels_100-hr_fuels_flaming,C_wood_100hr_F
consumption_woody_fuels_100-hr_fuels_smoldering,C_wood_100hr_S
consumption_woody_fuels_100-hr_fuels_residual,C_wood_100hr_R
consumption_woody_fuels_1000-hr_fuels_sound_flaming,C_wood_S1000hr_F
consumption_woody_fuels_1000-hr_fuels_sound_smoldering,C_wood_S1000hr_S
consumption_woody_fuels_1000-hr_fuels_sound_residual,C_wood_S1000hr_R
consumption_woody_fuels_1000-hr_fuels_rotten_flaming,C_wood_R1000hr_F
consumption_woody_fuels_1000-hr_fuels_rotten_smoldering,C_wood_R1000hr_S
consumption_woody_fuels_1000-hr_fuels_rotten_residual,C_wood_R1000hr_R
consumption_woody_fuels_10000-hr_fuels_sound_flaming,C_wood_S10k_F
consumption_woody_fuels_10000-hr_fuels_sound_smoldering,C_wood_S10k_S
consumption_woody_fuels_10000-hr_fuels_sound_residual,C_wood_S10k_R
consumption_woody_fuels_10000-hr_fuels_rotten_flaming,C_wood_R10k_F
consumption_woody_fuels_10000-hr_fuels_rotten_smoldering,C_wood_R10k_S
consumption_woody_fuels_10000-hr_fuels_rotten_residual,C_wood_R10k_R
consumption_woody_fuels_10k+-hr_fuels_sound_flaming,C_wood_+S10k_F
consumption_woody_fuels_10k+-hr_fuels_sound_smoldering,C_wood_+S10k_S
consumption_woody_fuels_10k+-hr_fuels_sound_residual,C_wood_+S10k_R
consumption_woody_fuels_10k+-hr_fuels_rotten_flaming,C_wood_+R10k_F
consumption_woody_fuels_10k+-hr_fuels_rotten_smoldering,C_wood_+R10k_S
consumption_woody_fuels_10k+-hr_fuels_rotten_residual,C_wood_+R10k_R
consumption_woody_fuels_stumps_sound_flaming,C_stump_sound_F
consumption_woody_fuels_stumps_sound_smoldering,C_stump_sound_S
consumption_woody_fuels_stumps_sound_residual,C_stump_sound_R
consumption_woody_fuels_stumps_rotten_flaming,C_stump_rotten_F
consumption_woody_fuels_stumps_rotten_smoldering,C_stump_rotten_S
consumption_woody_fuels_stumps_rotten_residual,C_stump_rotten_R
consumption_woody_fuels_stumps_lightered_flaming,C_stump_lightered_F
consumption_woody_fuels_stumps_lightered_smoldering,C_stump_lightered_S
consumption_woody_fuels_stumps_lightered_residual,C_stump_lightered_R
consumption_litter-lichen-moss_litter_flaming,C_litter_F
consumption_litter-lichen-moss_litter_smoldering,C_litter_S
consumption_litter-lichen-moss_litter_residual,C_litter_R
consumption_litter-lichen-moss_lichen_flaming,C_lichen_F
consumption_litter-lichen-moss_lichen_smoldering,C_lichen_S
consumption_litter-lichen-moss_lichen_residual,C_lichen_R
consumption_litter-lichen-moss_moss_flaming,C_moss_F
consumption_litter-lichen-moss_moss_smoldering,C_moss_S
consumption_litter-lichen-moss_moss_residual,C_moss_R
consumption_ground_fuels_duff_upper_flaming,C_upperduff_F
consumption_ground_fuels_duff_upper_smoldering,C_upperduff_S
consumption_ground_fuels_duff_upper_residual,C_upperduff_R
consumption_ground_fuels_duff_lower_flaming,C_lowerduff_F
consumption_ground_fuels_duff_lower_smoldering,C_lowerduff_S
consumption_ground_fuels_duff_lower_residual,C_lowerduff_R
consumption_ground_fuels_basal_accumulations_flaming,C_BA_F
consumption_ground_fuels_basal_accumulations_smoldering,C_BA_S
consumption_ground_fuels_basal_accumulations_residual,C_BA_R
consumption_ground_fuels_squirrel_middens_flaming,C_SM_F
consumption_ground_fuels_squirrel_middens_smoldering,C_SM_S
consumption_ground_fuels_squirrel_middens_residual,C_SM_R
